5
224,219
91,305
157,375
236,97
111,269
206,298
86,486
185,181
238,375
202,250
82,202
82,361
46,252
82,366
35,110
96,357
216,459
129,102
39,324
115,218
156,315
148,364
211,126
222,108
89,335
196,121
143,490
34,387
79,151
110,210
140,196
68,159
204,427
216,131
239,192
134,165
187,239
138,391
216,152
142,426
60,305
88,129
222,228
131,306
58,402
235,360
85,412
61,367
182,441
139,127
146,176
94,477
86,436
148,492
118,389
191,484
149,324
156,213
330,417
122,411
200,385
208,388
103,417
245,415
333,408
171,407
186,381
126,383
189,417
121,387
345,381
134,420
124,396
365,408
292,387
162,397
277,385
251,419
181,398
202,388
332,390
199,391
192,418
195,396
253,387
322,398
309,404
301,381
215,411
144,415
244,391
115,382
155,401
166,387
379,417
170,420
364,414
200,389
196,410
109,381
306,413
277,384
372,395
104,411
144,389
246,407
272,410
332,336
322,388
313,333
328,260
263,327
375,253
332,396
385,397
373,352
402,273
284,225
202,300
292,268
257,286
362,216
393,311
230,307
354,217
223,396
377,261
205,262
354,217
287,262
207,271
353,379
408,387
301,245
293,360
369,371
252,361
330,210
214,322
287,326
416,206
440,145
361,139
447,204
485,169
498,130
388,236
378,203
404,178
500,149
457,145
438,196
482,171
393,150
352,155
352,240
494,183
489,212
439,132
477,214
481,143
409,176
462,183
462,140
384,157
353,142
379,59
365,126
241,155
319,142
356,169
435,137
178,107
356,186
332,132
269,112
77,112
149,152
319,70
135,113
397,184
82,105
243,20
300,20
395,71
109,38
391,171
120,85
400,146
362,110
215,53
122,69
175,107
77,70
273,160
238,170
151,21
276,23
422,84
190,180
261,48
133,64
88,123
314,174
150,79
201,158
317,119
247,68
168,167
258,176
433,121
177,163
101,107
402,143
379,48
