3
104,425
96,337
51,128
106,137
119,79
103,242
83,106
65,327
44,319
124,491
127,492
108,77
88,312
52,440
26,53
29,162
94,471
113,203
139,223
26,443
28,320
129,112
77,169
29,341
105,127
40,484
42,263
59,65
123,240
113,292
70,267
57,325
71,155
66,356
33,142
85,313
109,249
36,119
68,160
139,110
112,268
97,69
92,242
85,491
81,482
138,404
97,486
122,229
31,271
83,54
93,377
133,448
42,266
134,338
116,274
89,482
47,55
78,345
270,390
219,399
220,413
259,419
204,405
261,383
245,417
253,384
258,390
253,420
244,406
272,408
257,414
220,420
276,390
269,413
212,397
241,408
208,403
210,392
216,380
208,392
265,420
215,418
236,390
229,414
243,381
237,407
272,401
241,389
213,383
267,386
214,380
214,408
225,395
234,390
216,384
274,417
259,397
272,390
217,419
204,415
209,388
205,396
213,399
225,414
203,396
214,406
254,420
316,252
320,251
305,266
313,240
305,221
309,285
319,216
302,200
304,211
305,207
320,284
308,236
320,247
310,271
308,206
302,275
314,252
309,272
318,212
308,236
310,210
309,264
302,268
317,239
300,251
309,212
301,290
318,285
305,270
308,211
300,283
310,272
319,242
313,247
486,238
456,223
475,219
490,157
485,167
472,144
463,155
483,219
485,206
459,184
488,137
489,169
457,237
470,227
454,169
483,222
480,162
460,217
460,235
451,143
476,140
452,130
499,157
484,203
459,233
244,46
413,43
387,23
434,38
194,27
349,84
404,28
164,79
208,79
84,28
421,36
355,98
416,27
311,79
378,85
420,31
99,51
406,46
237,48
174,40
198,70
76,24
267,51
75,47
281,50
135,92
65,68
69,29
343,104
245,95
298,26
82,68
255,98
148,70
56,77
127,31
383,58
161,58
180,24
230,75
411,48
334,62
379,38
54,45
279,42
41,96
111,37
362,72
311,39
